Dates(OnlySaturdays),GrossSales,Discounts,Refunds,NetSales,Breakfast,WeekNumber,RunningWeek,TotalSumCases
9/21/2019,953.83,-119.66,0,834.17,0,38,38,0
9/28/2019,1224.58,-253.21,0,971.37,0,39,39,0
10/5/2019,1852.91,-312.83,0,1540.08,0,40,40,0
10/12/2019,1105.08,-179.82,0,925.26,0,41,41,0
10/19/2019,1138.05,-176.97,0,961.08,0,42,42,0
10/26/2019,1480.33,-180.84,0,1299.49,0,43,43,0
11/2/2019,860.36,-170.94,0,689.42,0,44,44,0
11/9/2019,795.4,-107.08,0,688.32,0,45,45,0
11/16/2019,1034.86,-107.03,-8.98,918.85,0,46,46,0
11/23/2019,965.33,-157.78,0,807.55,0,47,47,0
11/30/2019,0,0,0,0,0,48,48,0
12/7/2019,2097.68,-138.37,-19.47,1939.84,0,49,49,0
12/14/2019,1604.11,-103.92,-16.68,1483.51,0,50,50,0
12/21/2019,1426.01,-149.38,0,1276.63,0,51,51,0
12/28/2019,564.92,-39.57,0,525.35,0,52,52,0
1/4/2020,643.51,-66,0,577.51,0,53,53,0
1/11/2020,855.66,-117.18,0,738.48,0,1,54,0
1/18/2020,997.22,-171.61,0,825.61,0,2,55,0
1/25/2020,866,-115.53,0,750.47,0,3,56,0
2/1/2020,649.93,-91.26,-7.98,550.69,0,4,57,0
2/8/2020,841.69,-160.83,-7.4,673.46,0,5,58,0
2/15/2020,534.74,-37.68,0,497.06,0,6,59,0
2/22/2020,759.69,-73.08,0,686.61,0,7,60,0
2/29/2020,816.08,-106.79,0,709.29,0,8,61,0
3/7/2020,$837.78 ,($131.36),$0.00 ,706.42,0,9,62,0
3/14/2020,"$1,176.15 ",($179.95),$0.00 ,996.2,0,10,63,1
3/21/2020,$470.73 ,($105.04),$0.00 ,365.69,0,11,64,4
3/28/2020,$330.37 ,($39.94),$0.00 ,290.43,0,12,65,9
4/4/2020,$627.28 ,($52.62),$0.00 ,574.66,0,13,66,17
4/11/2020,$657.68 ,($67.34),$0.00 ,590.34,0,14,67,20
4/18/2020,$372.68 ,($66.03),$0.00 ,306.65,0,15,68,6
4/25/2020,$378.30 ,($47.59),$0.00 ,330.71,0,16,69,2
5/2/2020,$529.39 ,($43.47),$0.00 ,485.92,0,17,70,7
5/9/2020,$745.41 ,($94.64),$0.00 ,650.77,0,18,71,11
5/16/2020,$359.67 ,($56.45),$0.00 ,303.22,0,19,72,10
5/23/2020,$625.79 ,($106.23),$0.00 ,519.56,0,20,73,0
5/30/2020,$492.81 ,($121.56),$0.00 ,371.25,0,21,74,21
6/6/2020,$706.05 ,($131.89),$0.00 ,574.16,0,22,75,30
6/13/2020,$587.99 ,($58.53),$0.00 ,529.46,0,23,76,24
6/20/2020,$919.64 ,($95.52),$0.00 ,824.12,0,24,77,22
6/27/2020,$623.49 ,($167.14),$0.00 ,456.35,0,25,78,54
7/4/2020,$0.00 ,$0.00 ,$0.00 ,0,0,26,79,66
7/11/2020,$371.32 ,($45.85),$0.00 ,325.47,0,27,80,88
7/18/2020,$497.96 ,($59.90),$0.00 ,438.06,0,28,81,171
7/25/2020,$126.26 ,($26.52),$0.00 ,99.74,0,29,82,197
8/1/2020,$544.88 ,($78.44),$0.00 ,466.44,0,30,83,200
8/8/2020,$566.28 ,($68.32),$0.00 ,497.96,0,31,84,319
8/15/2020,$626.79 ,($107.70),$0.00 ,519.09,0,32,85,341
8/22/2020,$611.18 ,($105.92),$0.00 ,505.26,0,33,86,333
8/29/2020,$660.49 ,($117.58),$0.00 ,542.91,0,34,87,365
9/5/2020,$643.44 ,($52.20),$0.00 ,591.24,0,35,88,341
9/12/2020,$883.69 ,($43.85),$0.00 ,839.84,0,36,89,309
9/19/2020,938.33,-97.92,-11.99,828.42,1,38,90,441
9/26/2020,712.12,-108.98,0,603.14,1,39,91,603
10/3/2020,1558.25,-237.47,0,1320.78,1,40,92,547
10/10/2020,572.46,-65.74,0,506.72,1,41,93,611
10/17/2020,909.71,-135.68,0,774.03,1,42,94,626
10/24/2020,1060.51,-92.18,-13.49,954.84,1,43,95,395
10/31/2020,1019.57,-129.67,0,889.9,1,44,96,306
11/7/2020,955.73,-164.35,0,791.38,1,45,97,489
11/14/2020,1096.88,-185.81,-6.28,904.79,1,46,98,614
11/21/2020,1054.3,-153.89,-11.5,888.91,1,47,99,1076
11/28/2020,0,0,0,0,1,48,100,838
12/5/2020,610.68,-33.39,0,577.29,1,49,101,982
12/12/2020,1332.57,-52.95,-8.28,1271.34,1,50,102,980
12/19/2020,1406.5,-34.35,-33.14,1339.01,1,51,103,756
12/26/2020,0,0,0,0,1,52,104,435
1/2/2021,502.5,-48.37,0,454.13,1,53,105,414
1/9/2021,699.41,-70.72,-144.2,484.49,1,1,106,544
1/16/2021,869.75,-49.26,0,820.49,1,2,107,556
1/23/2021,836.67,-70.85,0,765.82,1,3,108,370
1/30/2021,879.38,-103.69,0,775.69,1,4,109,324
2/6/2021,826.2,-55.91,-3,767.29,1,5,110,333
2/13/2021,1105.62,-64.16,0,1041.46,1,6,111,282
2/20/2021,840.71,-73.07,0,767.64,1,7,112,276
2/27/2021,797.83,-48.5,0,749.33,1,8,113,400
